date,tvl,chain,tvl_start,tvl_current,tvl_delta
2024-07-08,1356541995.3098855,Base,1356541995.3098855,1401889798.2576954,45347802.947809935
2024-07-09,1372368285.5895176,Base,1356541995.3098855,1401889798.2576954,45347802.947809935
2024-07-10,1401889798.2576954,Base,1356541995.3098855,1401889798.2576954,45347802.947809935
2024-07-08,25631318.19824474,Fraxtal,25618720.231266916,26349391.36899627,730671.1377293542
2024-07-09,25618720.231266916,Fraxtal,25618720.231266916,26349391.36899627,730671.1377293542
2024-07-10,26349391.36899627,Fraxtal,25618720.231266916,26349391.36899627,730671.1377293542
2024-07-08,409261873.82481873,Mode,408286358.04189956,409280811.9824154,994453.9405158162
2024-07-09,408286358.04189956,Mode,408286358.04189956,409280811.9824154,994453.9405158162
2024-07-10,409280811.9824154,Mode,408286358.04189956,409280811.9824154,994453.9405158162
2024-07-08,633787670.7347611,Optimism,633787670.7347611,651502442.912264,17714772.17750287
2024-07-09,643819711.1512223,Optimism,633787670.7347611,651502442.912264,17714772.17750287
2024-07-10,651502442.912264,Optimism,633787670.7347611,651502442.912264,17714772.17750287
